"回答日時","受付番号","回答ユーザ","第２回:キーワード①","第２回:キーワード②","第２回:キーワード③","第２回:キーワード④","第２回:キーワード⑤"
"2022/04/28 23:45","7002","25022018","KWICを使いこなして大学からの情報をキャッチ","忙しくなると周りが見えなくなるので自分を俯瞰できるようにする","あまりくよくよせず、悩みすぎない","自分をリセットする方法を持つ","商売は社会のためにならないと続かない"
"2022/04/28 23:45","7001","22021169","いろいろな領域でアイデアを現実化できる","自分の忙しさに精一杯で周りに目が行かなくなること","自分で商売を立ち上げ大きくしていくことに商社の魅力を感じた","自分達が作るものだとかは、自分達が未熟だと商売として成り立たない","商売をやる中で環境ビジネスというものを作り、それが社会にとって良いとかんがえ商売として成り立たないと持続性がない"
"2022/04/28 23:45","7000","25020294","留学することで日本人が少数派であるということがわかる。自分自身の理解へとつながる。","たくさんの人と会話することが大事。対話能力を磨かなければならない。","予想できないことが起こった場合、どのようにして悩みの沼から脱出するか、自分を回復させるかの方法を模索するべき。","諦めないことが大事。何かを成し遂げた人に共通する。","人間万事塞翁が馬。"
"2022/04/28 23:45","6999","25020319","好きな物に向き合い続ける。","人との関わり","海外から見ると日本人が如何に少数派であるかがわかる。","心のキャパシティを多く持つ","人を巻き込んでいく楽しさ"
"2022/04/28 23:45","6998","23020175","情報をキャッチする。クイックを使いこなす。","自覚をする。外の目を持って気づく。","人とのかかわりが大事である。","会話と対話の考え方を持つ","前向きな塞翁が馬"
"2022/04/28 23:45","6997","26021446","プラスチック","情報をキャッチすることの重要性","自分にとって面白いものを追求すること","自分が主体であること","人と何かを成し遂げること"
"2022/04/28 23:45","6996","29021331","体の余裕を無くすより心の余裕を無くす方が仕事に影響が出る。","外の目を持って今の自分の状態に気づことが大切である。","人との関わりにモチベーションを感じている。","自分と相手は違うということの認識が大切である。","前向きな塞翁が馬。"
"2022/04/28 23:44","6995","22021680","大学からの情報をよく把握する","体の余裕を無くすより心の余裕を無くすほうが仕事に影響が出る","どんなに忙しくても心のキャパシティは持っていないとダメであり、チームの連携が重要である"," 外の目を持って今の自分の状態に気づくことが大切である"," 自分のことを知る、そして相手のことを知る"
"2022/04/28 23:44","6994","29022229","物事に正解はないので、一喜一憂せずに反省をしながらそれを次に活かすべきである","さまざまなことを客観的に見れる能力をつける","情報をできるだけ多く集め、それを自分に活かす","バイトをすることで社会経験を積めるので、お金を稼ぐこと以外にも意味がある","会話と対話の違いを理解する。特に背景が違う人と言葉を交わす対話の能力を学生の間から身につける"
"2022/04/28 23:44","6993","31021350","自分自身を理解すること","心を無くすまで自分を追い込まないこと","対話することを大切にしていくこと","信頼関係を構築していくこと","困難に直面しても、自己形成のための糧にしていくこと"
"2022/04/28 23:44","6992","23020234","人のネットワーク","情報感度","自分を客観視","挫折から立ち上がる力","日本人は少数派"
