担当教員,学籍番号,1,2,3,4,5, ,採点欄,備考欄,コピペ群,重複ワード,参考情報, ,NGワード数,NGワード一覧,再履修
森,22020690,自分の宝となる情報を得ようとする姿勢。飛び級制度や1か月で約180社の説明会に参加された情報収集力。,忙しすぎて心の余裕を失わないこと。人には優しく接し、相手を尊重する姿勢を忘れないこと。,海外の方とお仕事をするときは、自分と相手を知り、お互いにとって良い商売をすること。,前向きな塞翁が馬。辛いことがあっても、その経験は自分の力になる。くよくよしすぎない。,自己満足だけが目的の場合、物事や商売は続かない。世のため人のために自分を磨く姿勢をもつ。, , , ,,, , ,0,, 
森,22020724,持続性,練達,気分転換,（全体の）俯瞰,心の余裕, , , ,,, , ,0,,再履修
森,22020740,自分に合った情報を収集する力を身に着ける,忙しい時は周りを見ることができなくなりがちであることを自覚する,忙しいは「心を亡くす」ということ,仕事をする上で大切なのは「会話」より「対話」,前向きな塞翁が馬, , , ,,, , ,0,, 
森,22020776,今は小さいが確実に必要になる事業を見つけ出すこと。,総合商社という多くの人と関われる環境。,相手を知るために自分を知る。,前向きな塞翁が馬。いい意味で人生何が起きるかわからない。,絶えず練達していくことで社会に対して奉仕する。, , , ,,, , ,0,, 
森,22020863,今回、小林さんのお話を聞いて学んだキーワードとして幅広く学ぶという事です。,次に学んだキーワードとしては大学時代の学びを生かして、商いをして、人と触れ合うという事です。,3つ目のキーワードとしてクヨクヨせず、失敗した事は反省して前向きに行くという事です。,4つ目としてはスープで例えていたように辛い経験も後になったら、人に深みを与えるという事です。,最後に学んだキーワードとして、人間万事塞翁が馬と言う事です。, , , ,,, , ,0,, 
森,22020867,どんなに忙しくても心の余裕を持つことは大事,前向きな塞翁が馬悪かったところを反省してすぐ立ち上がって進んでいくことが大事,嫌なことも長くは続かない自分をおいしくするものだと思って前向きに捉える,精一杯楽しむこと,まず自分のことを知る。それを踏まえて相手のことを知り一緒にお互いにとっていいことを考えていく, , , ,,, , ,0,,再履修
森,22020951,忙しいということを理由にせず気持ちに余裕をつくることの大事さ。,人間万事塞翁が馬ということわざのようにうまくいかないこともうまくいくかもしれないと捉える。,飛び級制度の利用のように常に自分の周りにチャンスが転がっていないかを探す大事さ。,自分のやりたいことを知るためにに月に100社を超えるペースで会社を訪れたという行動力。,商社というものはコンサルトとは違い自分で商売をしていくものだということ。, , , ,,, , ,0,, 
森,22021018,商売自体の深掘り商売自体を深掘りすることが商売の基本であり、商売をするために必須である。,人と関わること自分を知り、他者を知ることによって人と関わり、ビジネスを成功させる。,心の余裕心の余裕を持つことでチームの連携をとりやすくし、ビジネスの成功に近づける。,休憩ただ仕事に全力を注ぐだけでなく、息抜きをすることも必要であり、心の余裕にもつながる。,前向きな塞翁が馬なにがいい方向に向き、悪い方向に向くかはわからない。そのため、前向きに考える。, , , ,,, , ,0,, 
森,22021028,グローバル,ペーパーレス化,自分が主体で商売を創る,心に余裕をもつ,対話, , , ,Pattern7,ペーパーレス自分主体商売心余裕対話,"対象:24021722 時期:2022/04/28 22:29全てのキーワード:グローバル,ペーパーレス化,自分が主体で商売を創る,心に余裕をもつ,対話する", ,0,, 
森,22021064,自分にとって重要な情報が埋もれないようにチェックすること,心の余裕を持ち続けて周りへの思いやりを忘れないように自覚すること,自分や背景の異なる他者のことを知り一緒に考えることで信頼を得たこと,「前向きな塞翁が馬」というモットーにおいて反省した後にくよくよせず次につなげること,練達の継続によって自分自身や仕事が社会に役立つものになること, , , ,,, , ,0,, 
森,22021078,周りをしっかり見る,心の余裕をなくさない,相手を見る,自覚する,忙しいは心を亡くしている, , , ,,, , ,0,, 
森,22021088,あまりくよくよしすぎない,楽しむ,心の余裕が大切,まずは自分のことを知ってから相手を知る,自分が主体となって商売が出来る仕事, , , ,,, , ,0,, 
森,22021101,環境ビジネス,商社,心の余裕,前向きな塞翁が馬,対話, , , ,,, , ,0,, 
森,22021116,就職活動,周りに目が行かなくなる,商売,対話,前向きな塞翁が馬, , , ,,, , ,0,, 
森,22021151,企業を月に180社見て回るほどの行動力,日頃からkwic等からの情報をキャッチする,いいほうの人間万事塞翁が馬,成功する人は最後まで継続している,少しくらい「えっ」と思うようなものが入っていたほうがスープとしておいしいと捉える, , , ,,, , ,0,,再履修
森,22021159,商売,人との関わり,心の余裕を持つこと,自分を知り、相手を知ること,前向きな「塞翁が馬」, , , ,Pattern12,商売関わり余裕こと自分相手こと塞翁馬,"対象:26021381 時期:2022/04/25 01:32全てのキーワード:新しい商売をつくる,心の余裕をもつ,人との関わりを大事に,自分のことも相手のことも知る,前向きな塞翁が馬", ,0,, 
森,22021162,若手のころ蓄積させた知識や経験は、ステップアップしてビジネスを作り上げるときの材料となる。,商売をする時は自分と相手それぞれを知り、違いを知るプロセスが必要。相手と共になって考える姿勢が重要。,情報をこまめに確認する、情報に自分からアプローチすることで将来に思いがけない新たな選択肢が生まれる。,自分の反省点は把握しながらもくよくよとしないことは、いずれいい結果をもたらすことがある。,善意というのは素晴らしいことではあるがその行動で終わるのではなく社会への還元につながるのが大事。, , , ,,, , ,0,, 
森,22021171,精神の疲労は肉体の疲労よりも仕事への影響が大きい,自分は疲労しているということを自覚することが大事,くよくよせずに今回何がいけなかったのか分析して前に進む,なにかを成し遂げるのは諦めなかった人,社会のためにならなければ一時的には続けど商売は長続きしない。, , , ,,, , ,0,,再履修
森,22021178,良い所を残しながら悪い所を変えていき商売を広げる,心の余裕をなくすと仕事が回らなくなる,世界を相手にする際自分を知り相手を知ることでお互いにとって何がいいか考える,前向きな塞翁が馬,商売は社会のためにならないと続かない, , , ,,, , ,0,, 
森,22021179,コミュニケーション,対話,SDGs,商社,信頼関係, , , ,,, , ,0,, 
森,22021207,情報の取得。飛び級制度を利用したが、その制度が承認されたことを情報として取り入れられていた。,忙しいと心がなくなる。そして周りが見えなくなる。これに自覚することが大切,好きな事を仕事にする。成果が出やすいから,対話と会話の違い。あらゆる国の人と対話をした,深く調べ行動する, , , ,,, , ,0,, 
森,22021211,心の余裕をもつ,自分の発散方法をみつける。,社会には様々な人と交流できることが求められる。,善意で動いたとしてもそれがシステムにならなければうまく回らない。,自分にとってのマイナスをスパイスだと考える。, , , ,,, , ,0,, 
森,22021215,人によってキャリアパスは違う,社会のためになる仕事,似た人ばかりでは危険,売るものが立派でなければ商売にならない,万事塞翁が馬, , , ,,, , ,0,, 
森,22021231,自覚,前向きな塞翁が馬,継続,相手と自分は違うもの,息抜き, , , ,,, , ,0,, 
森,22021234,心に余裕を持つ,世界を相手にするにはまず自分のことを理解する必要がある,商売をするには商売相手のことをよく知っておかなければならない,休憩が重要,英語の能力が必要, , , ,,, , ,0,, 
森,22021258,日本人は少数派である,くよくよせず、反省はし、すぐ立ち上がって走っていく,嫌だったらやめてもいい,悪いことは長く続かないし、自分の力になる,精一杯楽しむ, , , ,,, , ,0,,再履修
森,22021265,ここに余裕を持つ,心と心の交流,対話と会話の違いを知る,世界への姿勢おして自分を知ること相手を知る事,人間万事塞翁が馬, , , ,,, , ,0,, 
森,22021311,海外の方と関わることの大きさ,心の余裕をもつということ,前向きな塞翁が馬,息抜きや休憩の重要性,とにかく色々な会社のお話を聴いてみること, , , ,,, , ,0,, 
森,22021314,前向きな人生塞翁が馬,将来性のある仕事,先の時代を見据えた商売,国際的な交流,心を通わせる, , , ,,, , ,0,, 
