"回答日時","受付番号","回答ユーザ","第３回:キーワード①","第３回:キーワード②","第３回:キーワード③","第３回:キーワード④","第３回:キーワード⑤"
"2022/04/27 00:39","1795","25020016","やると決めたら楽しむ","自分で考え、自分で行動する","好奇心を持つ","色んな現場に足を運ぶ","自ら体験する"
"2022/04/27 00:37","1794","38022205","やると決めたら楽しむ","全体を俯瞰的に見る視点をもつ","自分で考え自分で行動する","今の自分に満足しない","努力をしないと得られるものはない"
"2022/04/27 00:35","1793","25022366","司法試験と実務の仕事は全く違うようにその時の状況に合わせて臨機応変に選択することが大切であること","どんなにしんどくて苦しくても、「楽しむ」ということを忘れないこと","自分に合った目標をよく考えて将来のために適切な定めることが大切ということ","能力が高い人たちが周りにいることで自分が他の人より劣っているなどのマイナスな気持ちを持つことは自分が成長している証ということ","好奇心をもって物事に対して積極的になるという経験が大事ということ"
"2022/04/27 00:34","1792","24022522","専門分野は好きなことを宣言するということ","やると決めたら楽しむこと","きた波にのること","さまざまなことに好奇心を持つこと","実際に足を運んで色々なことに挑戦すること"
"2022/04/27 00:32","1791","22022288","やると決めたら楽しむ","いやだと思ったらできない","いやだからやらないという感覚がなかった","自分が努力しないと何も得られない","実績をあげると信頼を得て信頼は自信につながる"
"2022/04/27 00:29","1790","37022262","自分の考えに一貫性を持つ","自分の事をちっぽけな存在だと思うことが大人の始まり","実績を上げることで信頼を得てそこから自信が生まれる","事実として正しい事実があっても証拠で裏付けできないと正しいと証明できない","自ら足を運んで色々な事を経験することが大切"
"2022/04/27 00:27","1789","26022095","やりたいことだけに集中する。","やると決めたら楽しむ。","自分のことがちっぽけに感じれば大人。","若い時から自分で考えて行動する。","実績、信頼、自信、の正のスパイラルを作る。"
"2022/04/27 00:26","1788","29021445","やると決めたら楽しむ","熱中することも大事だけど俯瞰的に自分を見ることが大切","来た波には乗って誠心誠意取り組む","決して自分に満足しない","実績を上げ周囲の信頼を得ることが自信に繋がる"
"2022/04/27 00:25","1787","24022130","やると決めたら楽しむ","第三者の視点から考えることも大切","人との出会いは大切","何事にもチャレンジしていくこと","全ての仕事は真剣勝負"
"2022/04/27 00:24","1786","25022236","自分のペースを持つ","やると決めたら楽しむ","第三者の視点を持つ","来た波に乗る","たくさんの経験を積む"
"2022/04/27 00:24","1785","23021511","専門分野は自分の好きなものを宣言するもの","「やる」と決めたら楽しむ","関学が全ての出発点","来た波には乗る","一つ一つのお仕事が真剣勝負"
"2022/04/27 00:22","1784","24022475","やると決めたら、楽しむ","自分で考えて、行動する経験が大切","来た波に乗る","実績→信頼→自信","好奇心をもって、自ら現場に足を踏み入れ体験する"
"2022/04/27 00:22","1783","31021581","やると決めたら楽しんでやる","第三者的な視点","一つ一つの仕事に全力で取り組む","来た波に乗る（もちろん悩んだりもする）","目の前のことに全力で取り組む"
"2022/04/27 00:22","1782","22021148","自分で考えて自分で行動すること","やると決めたら楽しむこと","どんなことにもすべて価値があること","第三者的な視点を持つこと","好奇心を持って自ら体験し、それを経験にすること"
"2022/04/27 00:21","1781","25020643","目の前の物事を考えすぎず、やると決めたらとことん楽しむこと。","仕事などの様々な分野において、第三者の視点から物事を俯瞰的に見る。","新たな挑戦として、色々な波に乗って期待に応える。","法律とは、決断の連続である。","自分自身で考えて、自分で行動することの大切さ。"
"2022/04/27 00:17","1780","38021241","自分のペース","早い段階","考えることから行動することまで","やりたいこと","楽しむ"
"2022/04/27 00:16","1779","22020885","やると決めたら楽しむ","出会いを大切にする","第三者的な視点から俯瞰して仕事を進める","熱中したら疑問を持たない","波が来たら乗る"
"2022/04/27 00:16","1778","26020361","やると決めたら楽しむ","存在価値","波","信頼","自信"
"2022/04/27 00:15","1777","22020125","来た波に乗る","実績を上げることで信頼を得る","信頼を得ることで自信を得る","自信を得ることで実績を上げる","好奇心を持って多くの体験をする"
"2022/04/27 00:15","1776","37021652","やると決めたら楽しむ","第３者的に全力、俯瞰的にみる","独立するには責任が重くなる","来た波には乗る","自分の知識をどこに使うのか→他者の利益のため"
"2022/04/27 00:11","1775","25020070","やると決めたら楽しむ","波が来たら乗る","誠心誠意まじめに仕事に取り組むこと","実績をあげることで信頼を得る信頼を得ることで自信を得る","やりきる力が大切"
"2022/04/27 00:11","1774","24022402","やるからには楽しむ","第三者的視点をもつ","好奇心をもって沢山経験をしていく","熱意をもって取り組む","波が来たら全力で乗る"
"2022/04/27 00:11","1773","29021481","やると決めたら楽しむ","丸投げされたからこそ一生懸命勉強し、自ら考えて行動できるようになった","弁護士は第三者の視点から全体を俯瞰し、将来を見据えて最良案を考えなければならない","現在はより社会の移り変わりのスピードが速いため、他にやりたいことが出てくる","mastery for service というモットーが弁護士という立場において自分の知識を他者の利益のために使うことに役立っている"
"2022/04/27 00:11","1772","23021545","やると決めたら楽しむ","現状に満足せず、自分にのびしろがあると思う","来た波には全力で乗る","お金は降ってこない　自分から動く","聞かれる前に連絡する 先読みの行動"
"2022/04/27 00:09","1771","26021492","楽しむ","俯瞰的","自信","伸び代","真剣勝負"
"2022/04/27 00:06","1770","34021038","やると決めたら苦しむのではなく、楽しんで取り組む","新たなことを挑戦するときするとき勇気がいるが、挑戦することで大きな学びを得ることができる","お声をかけていただいたときに、新たな経験を得れる機会として受け入れるべき","努力しないと何か得られるものがない","実績を得て信頼を得ることが出来る"
"2022/04/27 00:06","1769","25022104","やると決めたら楽しむ","第三者の視点を持ち、自分を俯瞰できるようになる","波が来たらのる","全ての出発に感謝","好奇心を持って現場に直接足を運び、自ら体験して経験にする"
"2022/04/27 00:06","1768","22022850","やると決めたら楽しむ","楽しむことは自分の意思で決める","物事には誠心誠意込めてする","自身は実績をあげる","仕事は大人への第1歩である"
"2022/04/27 00:04","1767","26020492","どうせやるなら楽しんでやる。","俯瞰的に物事をみる。","満足せずに、のびしろを信じる。","ただ波に乗るだけじゃなく、努力を伴わせる。","信頼が自信に変わり、実績になる。"
"2022/04/27 00:03","1766","39021008","やると決めたら楽しむことが重要である","俯瞰的な見方で依頼者の利益を考えなければならない","自分で考えて行動することが成長につながる","自分と他人のモノの考え方・感じ方は違う","波が来たら全力で乗るべきだ"
"2022/04/27 00:02","1765","34021260","やると決めたら楽しむ","自分で考え、自分で行動する","実績を上げて信頼を得る","信頼が自信に繋がる","やりきる力"
"2022/04/27 00:02","1764","34022267","やりたいことを楽しんでする","人の意見を聞く","第三者の視線","自身をもつ難しさ","物事に意欲的に取り組むこと"
"2022/04/27 00:01","1763","25020456","弁護士は会議や書面作りに時間を費やす","女性は資格を取った方がいい","何かをきっかけに自信がつくことがある","自分の存在がちっぽけだと思う瞬間が大人の始まり","いい上司に巡り会うことの大切さ"
"2022/04/27 00:00","1762","26021127","努力をしない限り得られるものは無い","全ての仕事が真剣勝負","自分で考えて行動する","すると決めたら楽しむ","仕事は第三者的に全力を尽くす"
"2022/04/26 23:58","1761","24022467","やると決めたら楽しむ。 興味の無い分野や勉強でもとりあえずやってみることが大事。楽しむと決めることで、その分野を好きになったり将来の糧になることがある。","新人の時から自分で考えて、自分で行動する、という機会がある方が成長できる。選ぶことはできないがそのような教育方針で育ててくれるボスと出会えることも自分の成長につながる。","法は新しいものが更新されていくため終わりがない。ずっとそれを楽しんで前向きに捉える力が必要である。政治家にも法律家にもなれる幅広さをもつ法学であるからこそ特に重要な力であるといえる。","自信を持つためには、まず実績をつくる。その実績は周囲の人々の信頼へと変わりまた自信に繋がる。というようにキャリアのサイクルが完成される。それを掴み取ることが鍵となる。","今の時代は様々な事がネットなどで調べられる時代であるが、好奇心をもっていろいろな現場に足を運びその体験を経験として、すべての事柄に価値を見出す事が学生生活における重要な事だといえる。"
"2022/04/26 23:58","1760","25022307","好奇心を持っていろいろな現場に足を運んで経験を積む ","やると決めたら楽しむ、いやと思ったらできない ","自分で考えて自分で行動することが今につながった　 ","依頼者を第三者の視点から見なければいけない、第三者的な視点でみなければならない。それが弁護士のしごと   　依頼者が不安に思うのは自分の説明不足から、十分だったらちゃんと決断できる ","最終的な結果をあまり考えずに来た波には乗る "
"2022/04/26 23:57","1759","26021216","やると決めたら楽しむ","自分が努力しないと得られるものはない","波が来たら乗る（オファーしてくれた人は自分に期待をしてくれているのでそれに返す）","実績を上げることで周囲の信頼を得る ＝自信につながる、そしてまた実績へと繋がっていく","好奇心を持っていろんな場所に足を運んで自ら経験する"
"2022/04/26 23:57","1758","22022306","やると決めたら楽しむ","自分で考えて自分で行動する","実績、信頼、自信","人との出会い","現場に足を運んで自ら体験し、経験にする"
"2022/04/26 23:55","1757","27020239","裁判には書面、文章力が大事","やることを宣言することで仕事につながる","やると決めたら楽しむ","俯瞰的、第三者的にみる","夢中になると辛さを忘れる"
"2022/04/26 23:54","1756","22022311","やると決めたら楽しむ","支え合える友人を持つ","周りに流されずマイペースで歩んでいく","向上心を持ち続ける","来た波には乗ってみる"
