"回答日時","受付番号","回答ユーザ","第３回:キーワード①","第３回:キーワード②","第３回:キーワード③","第３回:キーワード④","第３回:キーワード⑤"
"2022/04/29 00:01","6975","31021549","専門分野というのは自分の好きなものを宣言すること","物事は楽しみながらやりきる","好奇心を大切にする","熱中するだけでなく、時には俯瞰的になることも大事","実績、信頼、自信のスパイラルが大事"
"2022/04/29 00:01","6974","24022139","やると決めたら楽しむ","意欲的に行動","率先して行動する","わからないままにしない","がんばる"
"2022/04/29 00:00","6972","24022271","学ぶことの大切さ","信じる心","勉強することの大切さ","人を思う気持ち","勉強に対してのやる気"
"2022/04/29 00:00","6971","26020546","転勤族","自分の道は自分で決める","やると決めたら楽しむ","決断したら迷わない","田嶋ことは自分の意思で決める"
"2022/04/29 00:00","6970","24022546","資格のための勉強は大変かもしれないが、やると決めたことは楽しんでやり通す","能力の高い人と出会う","自分に判断を任せてくれる人に出会う","波に乗せてくれた人に実績で恩返しする","主体性を持つ"
"2022/04/29 00:00","6969","24020449","弁護士の仕事は第三者的に尽くす","決断の連続","楽しんでできる力","好奇心","自ら体験"
"2022/04/29 00:00","6968","23020435","経験","人脈","縁","法律","目の前にきたお仕事"
"2022/04/29 00:00","6967","22022696","やると決めたら楽しむ","来た機会には並に乗る","楽しんで勉強し続ける","信頼してもらうために真剣に取り組む","好奇心をもって経験を積む"
"2022/04/29 00:00","6966","29021339","専門分野","司法試験","法律問題","成功体験","信頼関係"
"2022/04/28 23:59","6965","29021384","勉強が楽しい、勉強にはまる","自分のペースで鈍感に","やると決めたら楽しむ","正しい判断のための第三者の視点","全部の役には立てないが、役に立てることはある"
"2022/04/28 23:59","6964","34022067","やると決めたら楽しむ","新人でも挑戦していくが大事","頑張る","熱中し過ぎず俯瞰的に物を見る視点が大事","弁護士は困っている人が目の前にいるのでマスタリーフォアサービスが体現しやすい仕事"
"2022/04/28 23:59","6963","26020467","弁護士の書面作り","標準語に苦戦","苦労した後の成功体験の大きさ","アドバイスによる相手の心情変化","単純な喜び・嬉しさの大切さ"
"2022/04/28 23:59","6962","24019711","やると決めたら楽しむという感覚を大切にすること。","自分で選んで最後までやりきるということ。","きた波に乗ることできっかけになるかもしれないということ。","努力をしない限り儲かることはないため、一つ一つの仕事や信頼関係を大切にするということ。","自分の持っている知識を自分の利益だけではなく他社の利益のために使うということ。"
"2022/04/28 23:59","6961","29021279","任された仕事は自分でする","標準語が少ない","人見知りでも大丈夫","信頼につながり、信用につながる","話せる人がいなくてもなんとかなる"
"2022/04/28 23:59","6960","29021272","やると決めたことは楽しむ","第三者的に全力を尽くす","第三者的な視点を持つ","誰かの役に立つという成功体験","やりたいことが無かったら外で始める"
"2022/04/28 23:59","6959","22020471","やると決めたら楽しむ","波が来たら乗ること","俯瞰的な視線を持つ","自分で考えて行動する","楽しんで取り組む力"
"2022/04/28 23:59","6958","31021557","やると決めたら楽しむ","楽しむというのは自分の意思で決めること","実績→信頼→自信","波が来たら乗る","実績→信頼→自信"
"2022/04/28 23:59","6957","24021403","やると決めたら楽しむ","自分で考えて行動することの重要性","純粋な心","波に精一杯乗る","自信を持つこと、もてるようにすること"
"2022/04/28 23:59","6956","29022436","相手に親身になって話を聞くことは大切だが、距離が近すぎると客観的に見れなくなる","相手のことについて気を配って行動することで信頼を得られる","波が来たら、今までやったことがないことでも、挑戦してみる","常に好奇心を持ち、様々なことを体験する","学び続けることを楽しいと思う"
"2022/04/28 23:59","6955","22022617","前向きに捉える人に","目の前の仕事に真摯に取り組む","色々なものに触れて経験する","人の役に立っている実感ができる仕事","人間関係"
"2022/04/28 23:59","6954","24021469","語学力をつけてさまざまな人と交流することが大切だということ","日本とは違う外国に行って自分の考えを磨くこと","たくさんの人と交流し、意見を共有すること","人と人との繋がりを大切にすること","一瞬を必死に、今を大事にすること"
"2022/04/28 23:59","6952","24022246","やると決めたら楽しむ","司法試験","ボス","信頼","自信"
"2022/04/28 23:59","6951","22022793","専門分野とは自分の好きなことを宣言すること。","やると決めたら楽しむ。","今自分で考えて自分で行動することは将来の自分に繋がる。","仕事は全て真剣に取り組み、誠心誠意相手に応える。それは実践となる。","今までの背景に繋がりがある。（先輩や後輩）好奇心を持って現場に足を運び、経験に繋がる。一つ一つの行動に価値がある。"
"2022/04/28 23:59","6950","22022096","やると決めたら楽しむ","俯瞰的に物事を考え","仲間との支え合い","実績、信頼、自信のスパイラル","やってきたタイミングを逃さない"
"2022/04/28 23:59","6949","29021218","基本お断りしない","来た波には乗る","まだまだ未熟者","まだのびしろがある","満足していない"
"2022/04/28 23:59","6948","31022540","少し離れたところから観察する。近ずきずぎない","流されたりせず、しっかり自分をもつ。","やると決めたら、楽しむ","やることひとつひとつにこだわりをもつ","不安になっても焦らない。落ち着いて考える"
"2022/04/28 23:59","6947","31021350","楽しむと決めたらとことん楽しむこと","自主性を持って物事に取り組んでいくこと","実績で還元すること","実績から信頼関係を作り上げていくこと","人との出会いから自分を作り上げていくこと"
"2022/04/28 23:59","6946","29021364","やると決めたら楽しむ","熱中するのではなく、違う視点から見てみる、第三者的な立場で考える","多くの経験をおこない、自分で考えて行動に移していく","現状に満足せずに、目の前の物事に取り組む","自分の不安な気持ちや悩みを持ちながらも来た波に乗る"
"2022/04/28 23:59","6944","25022696","わからないところをつぶす","自分のペース","責任感","のびしろ","新しい仕組みに対応"
"2022/04/28 23:59","6943","25020222","自分の将来をしっかり計画する","決めたことを楽しむ","他人を協力する","自分で考え　自分で行動する","周囲の信頼を得る"
"2022/04/28 23:58","6942","29021076","無知の強み","自然体","好奇心","やると決めたら楽しんでやる","ある種の鈍感さ"
"2022/04/28 23:58","6940","24020731","やると決めたら楽しんでやり切る","楽しいは自分次第","熱中し過ぎず全体を俯瞰的に見る","考えながら行動する","決断の連続が自分を作る"
"2022/04/28 23:58","6939","38021219","何事も基礎が大事","将来上の立場になって部下に教える時に自分の経験を元に教えた方がいい","やると決めたら楽しむことが大事","自分に向いている仕事をすることが大事","自信は実績をあげることによって信頼を得ることでつくということ"
"2022/04/28 23:58","6938","29021484","司法試験の勉強と弁護士の実務は全然違う","やると決めたら楽しむ","第三者的に全力を尽くす","法律問題は決断の連続","来た波には乗る"
"2022/04/28 23:58","6936","27018030","弁護士と教育は全然違う","大人の始まり","色々任されることで自分で考える力が身についた","終わらない仕事は楽しまないとしんどい","法律の勉強は絶対無駄にならない"
"2022/04/28 23:58","6934","22021271","やると決めたら楽しくやる","傾聴する気持ちを持つ","来た舟に乗ってみる","新しいことにはどんどんチャレンジする","一つひとつを真剣勝負として考える"
"2022/04/28 23:58","6933","25022222","仕事でアルバイトの経験が役に立つ","嫌だからやらないという感覚はない","時には厳しいことを言わないといけない","社会に出て自分が充分でないことがわかる","多くの決断をしないといけない"
"2022/04/28 23:58","6932","25020319","やると決めたら楽しむ。","自分自身を知ってもらう。","辛い経験を大事にする。","不安や悩みを抱えこまない。","先輩から貰った恩は後輩へ"
"2022/04/28 23:58","6931","25020322","やると決めたら楽しむ","大変なことから逃げない","俯瞰的にみる","来た波には乗る","好奇心を持つ"
"2022/04/28 23:58","6930","29022036","やると決めたら楽しむ","自分で考えて自分で行動する","伸びしろ","来た波に乗る","好奇心を持って自ら体験する"
"2022/04/28 23:58","6929","25021070","たくさんの経験をする","どんな経験でも役に立つ","実績→信頼→自信のループ","来た波には乗る","仕事は全て真剣勝負"
"2022/04/28 23:58","6928","24021119","やるって決めたら楽しむ","弁護士は第三者としての視点が大事","来た波に乗る","一つ一つの仕事は真剣勝負","聞かれる前に答える"
"2022/04/28 23:58","6926","24022382","周りの意見を聞く","客観的な意見を大切にする","過程を重要視する","自分を褒める","人との関わりを失くさない"
"2022/04/28 23:58","6924","23021167","やると決めたら楽しむ","熱中しても全体を俯瞰する","声を掛けてもらったら絶対に断らない","実績→信頼→自信","他者の利益のために何ができるか考える"
"2022/04/28 23:58","6923","31020125","あえて厳しい道を行く","自分で自分自身を追い込む","自由だからこそ自分に厳しい道を選ぶ","就職活動","いる場所やタイミングなどを正しく選択すること"
"2022/04/28 23:57","6922","34020255","司法試験","将来設計","就職","弁護士","ロースクール"
"2022/04/28 23:57","6921","25019082","自分はちっぽけな存在","結果を想像しすぎずに波に乗る","未熟者","勉強を楽しみ続ける","スタートが大事"
"2022/04/28 23:57","6920","22021300","やると決めたら楽しむ","できませんとは言えなかった","ロースクールは熱量が違う","｢波に乗ってみるか｣の精神","法律の勉強は終わらない"
"2022/04/28 23:57","6918","34022052","専門分野は自分の好きなことを宣言していくこと","やると決めたら楽しむ","人との出会いが大切","第三者的に全力を尽くす(俯瞰的に物事を見る)","新しいことにとりあえずチャレンジしてみる! (波が来たらのる)"
"2022/04/28 23:57","6917","26021510","やると決めたら楽しむ","自分で考えて行動することが繋がる","知らないことの方が興味深い","一つ一つの仕事が真剣勝負","来た波に乗る"
"2022/04/28 23:57","6916","26020413","第三者的な視点で全力を尽くす","自分の役割を俯瞰的に見る","好奇心","自ら体験する","やると決めたら楽しむ"
"2022/04/28 23:57","6915","39022037","やると決めたら楽しむ","同じ目的を持った仲間と学ぶことは大切","成功体験は自信に繋がる","自分で考えて自分で行動すること","人との巡り合わせは大事"
"2022/04/28 23:57","6914","24022055","やると決めたら楽しむ","第３者として全力を尽くす","やらなければ身につかない","人との出会いと支えあい","弁護士は人の役に立つ実感を得られる"
"2022/04/28 23:57","6913","26020644","毎日必死","コミニュケーション能力","いかに証拠や主張を伝えるのかが大切","傾聴","来た波にのる"
"2022/04/28 23:57","6912","34020167","新人時代から大きな仕事を任されたことが今の自信に繋がった","「知らないこと」ほど怖いものは無い","「やる」と決めたら楽しむ","来た波には乗る","誰かに聞かれる前に自分から連絡する"
"2022/04/28 23:57","6911","23020234","世は法律で回っている","やると決めたら楽しむ","自分で考えて行動","好奇心を持つ","仕事に誇りを持つ"
"2022/04/28 23:57","6910","26020416","やると決めた事は楽しんでやり切る。","来た波に乗ってチャンスを無駄にしない。相手の信頼を獲得して自分に自信をつけて、また前に進むことが自分を成長させる方法の一つである。","自分の知識を他者に使うためにどうすればいいのか？を考えることで、社会に知識の還元を行う。","人との巡り合いは奇跡の連続であり、自分を助けてくれる。","好奇心を持って、自らで様々なことを経験をしてほしい。多様なものを知ることで自分の世界も広がる。"
"2022/04/28 23:57","6909","31020301","やると決めたことを楽しんでやる","俯瞰的な視点","様々な経験","探究心","信頼関係"
"2022/04/28 23:57","6908","24021726","やりがいがあるのはクライマックス","知識と事例","企業で人を育てる","やると決めたら楽しむ","自分を小さな存在と理解する"
"2022/04/28 23:56","6905","31021337","やると決めたら楽しむ","やる時は集中してマイペースに","・新人の時代から自分で考えて自分でやることが大きくなることに繋がった","傾聴力","好奇心を持っていろんなことに足を運ぶ"
"2022/04/28 23:56","6904","25021721","波が来たら乗る","実績は信頼に、信頼は自信につながる","やると決めたら楽しむ","自分で考えて行動することは仕事での活躍につながる","人との出会いは自分を助ける"
"2022/04/28 23:56","6903","31021560","第三者的な視点を持つ","将来のことまで見据えて考える","スタートが大切","来た波に乗る","自分が努力しない限り何か得られるものはない"
"2022/04/28 23:56","6902","29021094","やると決めたら楽しむこと。","やり切る力の重要性を明確にする。","自ら考えることと行動すること。","実績を上げる。信頼、自信のリサイクル。","好奇心を持つこと。現場に愛を運んで、体験する。"
"2022/04/28 23:56","6901","24022381","やると決めたら楽しむ","結果を想像しすぎないレベルで波に乗る","弁護士は人の役にたっていると実感出来る仕事である","学生のうちに留学を経験しておいた方が良い","好奇心を持って様々なことに足を踏み込み経験に繋げる"
"2022/04/28 23:56","6900","25022393","やると決めたらとことん楽しむ","自信は何か実績を上げて信頼を得ることで得られる","自分の小ささに気づく","司法修習生","顧客との意思疎通"
"2022/04/28 23:56","6899","25021488","先入観を持たず、新しいことに挑戦する","常に前向きに、やると決めたら楽しむ","クライアントには第三者として評価","悩んだら自分を見つめなおす","チャンスには積極的に乗る"
"2022/04/28 23:56","6898","24021464","お金は降ってこない","依頼を断らない","とりあえずやってみる","客観的に仕事をする","好奇心を持つ"
"2022/04/28 23:56","6897","25021328","困難なことに諦めをつけるのではなく成し遂げる","落ち着いて物事を見つめる","何事にも努力をしなければ成長は得られない","好奇心を持ち続けて知識や経験を得る","流れに乗って物事をこなす"
"2022/04/28 23:56","6896","32022591","周りに振り回されないようにする","裁判官はかなり成績が必要","試験はかなり難しい","自分にしっかりと自信を持つこと","裁判官は恨みを買うことがある"
"2022/04/28 23:56","6895","26020279","やると決めたら楽しむ","将来を見据えた判断","第三者の視点で仕事を俯瞰する","聞かれる前に連絡する","来た波には乗る"
"2022/04/28 23:55","6894","26022497","弁護士の仕事は第三者的に将来を見据えて全力を尽くすこと","今の自分に満足せずに向上心を持ち前向きにより上を目指すことが大切","｢来た波には乗る｣最終的な結果を想像しすぎずに新しいことに挑戦してみることも大切","相手に予測される前に先に行動すると信頼関係が築かれていく","実績を治め信頼を得ると自分への自信に繋がる。その自信はまた実績、信頼と正のスパイラルになっていく。"
"2022/04/28 23:55","6893","31020553","物事の決意","司法試験合格するまでの多くの人との関わり","自分の存在の小ささ","物事に楽しく取り組むこと","実績・信頼・自信のスパイラル"
"2022/04/28 23:55","6891","25020669","いろんな経験をすることで自主性が身につく","昔からの縁を大切にする","上司に信頼してもらえる","競い合いの世界","大学での学びが役に立つ"
"2022/04/28 23:55","6890","22022587","自分に自信がなくなるのは大人の始まり","自分を信じてくれる人と会えるかが大事","自分で考え行動する","波が来たら乗れ","実績を上げ信頼を得ると自信がつく"
"2022/04/28 23:55","6889","26020660","やると決めたら楽しむ！楽しむと決める！","来た波(もらった仕事)に対して、乗る(しっかり応える)！　なんとなくではなく、波を使った人に対して、誠心誠意応える","実績をあげ、自信を持ち、信頼を得る。このスパイラルが大切","自分で考えて自分で行動するということが、今に繋がる。","専門分野とは、自分の好きなものを宣言すること。そうすることで、それに関連した仕事が増えていく。知識も増えていく。"
"2022/04/28 23:55","6888","25020230","あまり考えすぎずに、楽しみながら行動に移す","自分で考えて、行動することの大切さ","自分を俯瞰的にみることで新しいことに気づくことができる","仕事の一つ一つが真剣勝負","挑戦することを怖がらずに、色んなことに触れて経験してみる。"
"2022/04/28 23:55","6887","23021457","法律の勉強は無駄にならないこと。","物事を第三者的にみること。","丸投げされた物事をすべてこなしていたことに驚いた。","やると決めたら楽しむこと。","好奇心を持つことが大切だということ。"
"2022/04/28 23:55","6886","23021008","やるなら「楽しむ」","自分で考え行動する","自分が出来ることを実践する","自分の知識が誰のためになるのか、どう知識を使うのか","人との繋がりを大切にする"
"2022/04/28 23:55","6885","22021169","弁護士は第三者的に全力を尽くす","依頼者と同じ立場で物事を見るのではなく少し違った面から全体を俯瞰し将来を見据え何が良いのか考えるのが大事","自分が努力しない限り得られるものはない","信頼関係を築くために書かれる前に連絡することを心がける","弁護士は人の役に立てるのが実感できる仕事"
"2022/04/28 23:55","6884","25020235","嫌だと思ったらできない","実際はドラマとは違う","俯瞰的に見る","証拠で裏付け","予測"
"2022/04/28 23:55","6883","26020192","やると決めたら楽しむ","自分で考えて行動することが大切","何でもやってみる","他者に誠心誠意で応える","実績を上げることで信頼につながり、自信にもなる"
"2022/04/28 23:55","6882","37021030","やると決めたら楽しむ","仲間との支え合い","不安を解決するための調べ","自分で考え自分で行動する","独立したことによる責任の負担"
"2022/04/28 23:54","6881","26021446","自分なりのステップアップの方法","選択した道を楽しむこと","勢いにのること","検察官","自分に自信を持つこと"
"2022/04/28 23:54","6880","22022628","やると決めたら楽しみ","俯瞰的に物事を見る","物事を知らないほど怖いことはない","自発的に行動する","自信を持つためには実績、信頼のサイクルを意識する"
"2022/04/28 23:54","6879","25022573","自分がちっぽけだと知る","自分で考えて自分で行動する","熱意を持って仕事をする","波が来たら乗る(誠心誠意)","実績→信頼→自信"
"2022/04/28 23:54","6878","22021361","やると決めたら楽しむ","自分で考えて自分で行動する","来た波に乗る","やりきる力","自ら体験してそれを経験にする"
"2022/04/28 23:54","6876","22022808","今まで経験したことのないことを好んで学ぶ","やると決めたら楽しむ","せっかく声をかけていただいたことは全力で応える","努力しない限り得られるものはない","好奇心を持って自ら体験"
"2022/04/28 23:54","6875","23020213","やりたいことをメインに","自分がちっぽけに見える","向こうからきっかけがやってくる","ある程度情報を持っている状況","波が来たら乗る（流行も）"
"2022/04/28 23:54","6874","36021501","やると決めたら楽しむ","全てこなす","満足せずに伸び代をつくる","来た波にのる","全ての仕事が真剣勝負"
"2022/04/28 23:54","6873","22022076","やると決めたら楽しむ","俯瞰して第三者の立場で考えることが大切","今の自分に満足しない","来た波に乗る","努力をしない限りは何も得ることは出来ない"
"2022/04/28 23:54","6877","27020472","環境に満足しない","来た波に乗る","逆境を成長に変える","学びを楽しさに変える","やり切る力"
"2022/04/28 23:54","6872","22020092","社会貢献","楽しむ","やると決めたら楽しむ","好奇心","弁護士"
"2022/04/28 23:54","6871","31020502","やると決めたら楽しむ","興味","自分で考えて行動する","来た波に乗る","新しいことに取り組む熱意と柔軟性"
"2022/04/28 23:54","6869","25021571","自分の持っているものを誰かに使えるか","他者の利益のため","関学の看板","関学ネットワークの一員","ネットの時代だけど足を運んで自ら経験"
"2022/04/28 23:54","6870","25022212","やると決めたら楽しむ","自分で考えて自分で動く","結果を想像しすぎない","実績→信頼→自信のスパイラル","何事も前向きにとりあえずやってみる"
"2022/04/28 23:54","6868","26021197","弁護士が第三者としての視野を持って仕事に取り組むようにビジネスも第三者としての視点を持てるように。","やると決めたら楽しむことが大事","自分の努力によって成功してると思い込まずに人に助けられていることを意識する。","自分に満足せずに常に向上心を持つ","好奇心を持って実際に体を動かして調べにいくことも大切"
"2022/04/28 23:54","6867","25022132","知識をどう使うかを経験する","実務でなにが使えるかを学ぶ","俯瞰する能力","将来の可能性まで考える","先を見据えて行動する"
"2022/04/28 23:54","6866","24021805","学び続ける力","自分で考えて行動すること","他者の利益のために働くこと","自ら体験してそれを経験に変える","やると決めたら楽しむ"
"2022/04/28 23:53","6865","25020355","自分のやりたいことをやる、やると決めたら楽しむ","法律問題は決断の連続","仕事を始めたての時から自分で考えて、自分で行動する","勉強は無駄にならない","実績向上→信頼を得る→自信に繋がる のキャリアループ"
"2022/04/28 23:53","6864","24022262","司法試験に必要な知識と実務に必要なものは違う","やると決めたら楽しむ","波が来たら乗る","実績によって信頼を積む","信頼が自信になる"
"2022/04/28 23:53","6863","24021037","クライアントとの仕事の不安は今でもあるが、それは仕事を丁寧にすることに役立つ","弁護士の仕事は第三者的に全力を尽くすこと","法律問題は決断の連続","自分で考えて自分で行動することに意味がある","出来なかった経験はその後に活かすことができる"
"2022/04/28 23:53","6862","23020253","司法試験の勉強と実務で使うものは全く違う","好きと思えることに一生懸命","自信が次のステップに 進むことが出来る","自分が役に立てることがあると分かった時の嬉しさ","大人になると自分の存在がちっぽけに思える、これが大人のはじまり"
"2022/04/28 23:53","6859","23020107","きた波には乗る","やると決めたら楽しむ","第3者的な視点を持つことが大事","努力をしない限り得られるものはない","出会いが大切"
"2022/04/28 23:53","6858","27020587","やると決めたら楽しんですること","自分で考えて自分で行動する","任されたことには実績を残す","信頼を築いていく","大変なことこそ自分を成長させる"
"2022/04/28 23:53","6857","25020081","やると決めたら楽しむ！という気持ちの持ち方が大切","何事もやらざるを得ない厳しい状況下にいることが能力向上につながった","仕事においては深入りしすぎず、俯瞰的に最善の行動をとるべきである","自信や意欲の向上において成功体験の影響は非常に大きい","好奇心を持って物事に取り組むことが成長・成功につながる"
"2022/04/28 23:53","6856","39022031","やると決めたことは楽しんでやる","第三者の視点を持つ","自分で考えて自分で行動する","弁護士は人の役に立てることを実感できる仕事","実績、信頼、自信のループ"
"2022/04/28 23:53","6855","23020475","第3者的な視点が大切","来た波に乗る","聞かれる前に連絡する","弁護士の仕事は人の役に立てることを実感できる","現場に足を運んで経験することが大切"
"2022/04/28 23:53","6854","34022003","やると決めたら楽しむべき。","早いうちから自分で考えて行動するべき。","俯瞰的に見る事は大切。","自分の存在がちっぽけな存在だと思うことが大人のはじまり。","実績を得る事で信頼が生まれ、信頼を得る事で自信に繋がり、それがまた実績に繋がる。"
"2022/04/28 23:53","6853","31021567","やると決めたら、楽しむ","井の中の蛙大海を知らずを自覚したときが大人の始まり","新人の時から受け身にならず、自分で考え動く","作ってもらった波に誠心誠意乗る","実績、信頼、自信のスパイラル"
"2022/04/28 23:53","6852","22022785","やるときめたら楽しむ","信頼関係を持つことや安心感を与えることが大事","最終的な結果を想像しすぎないで波に乗ってみる","好奇心を持つ","実績信頼自信はキャリアの正のスパイラル"
"2022/04/28 23:53","6851","23020175","やると決めたら楽しむ","自分がちっぽけと思うのは大人の始まりである","自分で考えて自分で行動する","実績、信頼、自身の正のスパイラルがある","楽しむことは自分の意思で決める"
"2022/04/28 23:53","6850","32020025","波が来たら乗る","実績","信頼","自信","関学は人生の出発点"
"2022/04/28 23:53","6849","23020588","自分のペース","俯瞰的","楽しむ","自由","波"
"2022/04/28 23:53","6848","25020067","第三者の目線をもつ","周りと比べて自分に自信がなくなった時は成長している証拠","努力しないと得られないものはたくさんある","何事にも一生懸命に","信頼関係を大切にする"
"2022/04/28 23:53","6847","24020289","やりたいこと、したいことに夢中になること、そして何より楽しむこと","出逢いを大切にし、新人の時から自分で考え自分で行動すること","先輩から与えてもらった知識をしっかりと活かす","自分に舞い込んできたチャンスを次へ進む「きっかけ」へと自分自身で変える勇気ある決断をする","自分の中の情報を常にアップデートし、最新の情報や仕組みを理解する"
"2022/04/28 23:52","6846","24020143","波が来たら乗る","目の前の仕事をする","他者の利益のために自身の知識を使う","仕組みを理解して法律的に細分化する","やると決めたら楽しむ"
"2022/04/28 23:52","6845","24020759","やると決めたら楽しむ","弁護士の仕事は第三者的に仕事をすること","来た波には乗る","努力をしない限り得られるものはない","地道な努力ができないと弁護士は難しい"
"2022/04/28 23:52","6844","38021525","やると決めたら楽しむ","第三者的な目線を持たないとだめ→俯瞰的に見るという視線が大切","自分の今のパフォーマンスに満足していない、自分の伸び代に期待している","来た波には乗る","好奇心を持って、いろんな現場に足を運んで、自ら体験してそれを経験にする→インターンやアルバイトにそれらの価値がある"
"2022/04/28 23:52","6843","25022152","やると決めたら楽しむ","俯瞰的に見る","自分で考えて行動する","きた波に乗る","実績、信頼、自信の正のスパイラル"
"2022/04/28 23:52","6842","34021215","専門分野とは自分の好きなものを宣言すること","やると決めたら楽しむ","第三者の視点を持つ","基本断らない","波に乗ってみる"
"2022/04/28 23:52","6841","25021340","やると決めたら楽しむ","第三者的な視点で物事を捉える","自分で考えて自分で行動する","不安を抱えていても来た波に乗る","一つ一つの仕事は真剣勝負である"
"2022/04/28 23:52","6840","22020867","やると決めたら楽しむ","波が来たら乗る","人との出会いが自分を助けてくれる","好奇心を持って自ら足を運んで体験することが大事","楽しむというのは自分の意思で決められる"
"2022/04/28 23:52","6838","22022571","やると決めたら楽しむ","自分で考える","自分で行動する","努力","チャレンジ"
"2022/04/28 23:52","6839","22021667","やると決めたら楽しむ姿勢","自分で考え、行動する経験の大切さ（この経験は小島さん自身のキャリア形成にもつながった）","物事に熱中することも大切だが、第三者的な視点から俯瞰的に見ることも大切","来た波には乗ってみて、乗ったからには誠心誠意向き合う","好奇心を持って、いろいろな現場に足を運び、自ら経験すること"
"2022/04/28 23:52","6837","22019709","やると決めたら楽しむ","俯瞰的にみる視点","やりたいことに熱中する","努力無しで得るものは無い","来た波には乗る"
"2022/04/28 23:52","6836","22020586","やると決めたら楽しむ","自分のペースでやることをやっていく","上司の存在","早いうちから大変なことを経験しておくことが力になる","俯瞰的な立場を持つ"
"2022/04/28 23:52","6835","26020269","やりたいことはやったことがないこと","やると決めたら楽しむと決める","聞かれる前に連絡、予測される前に動くなどで信頼関係を築いていく","一つ一つの仕事は全て真剣勝負","色々体験をさせてくれる環境、人が大切"
"2022/04/28 23:52","6833","22022786","計画性","努力","やりがい","俯瞰的な目線","主体的な挑戦"
"2022/04/28 23:52","6832","22020920","試験は自分自身との闘い","アルバイトで役に立つことが経験できる","自分のことをちっぽけだなと感じる　大人の始まり","自分で考えて自分で行動する","来た波には乗る"
"2022/04/28 23:52","6831","22021805","ドラマで取り上げられるような弁護士のイメージのような仕事は年に数回で仕事のクライマックス","国家試験の対策と実践で使うことは違う","教育と弁護士の仕事は考える点が全く異なっている","主に資料のチェックをしているがそこから仕事範囲が広がっている","弁護士に向いている人は、コミュニケーション力のある人や、法律は常に変わり続けるため常に勉強し続けることを楽しんでやり続けられる人"
"2022/04/28 23:52","6829","22021208","自己意志を強く持つ","来た波に乗って行動","自分で考えて行動する力","決めたことを楽しむ","楽しんで勉強できる力と熱量"
"2022/04/28 23:51","6830","39022003","やると決めたら楽しむ","結果的にかけがえのないものになることもある","決断が鈍るということは情報が十分でなかったから","自分で考えて自分で行動することも重要","心の中で消極的でも、波に乗ってやってみることも大事"
"2022/04/28 23:51","6828","27020522","若い人は自分の存在が小さいと感じていない。","大人になってくると自分の存在が小さいと感じるようになるのは大人になってきたという証拠になる。","自分で考えて、自分で行動するのは新人の頃からでもとても大切なものとなってくる。","自分が底辺であって辛い時があるが、それであきらめないことが大切。","新人の頃から様々な事件を経験させてくれたりする上司に巡り会えた。"
"2022/04/28 23:51","6826","31020561","若い人は自分の存在が小さいと感じていない。","大人になってくると自分の存在が小さいと感じるようになるのは大人になってきたという証拠になる。","自分で考えて、自分で行動するのは新人の頃からでもとても大切なものとなってくる。","自分が底辺であって辛い時があるが、それであきらめないことが大切。","新人の頃から様々な事件を経験させてくれたりする上司に巡り会えた。"
"2022/04/28 23:51","6825","25021457","自分が夢中になれる学びを見つけることがその道を極めることにつながる","一度失敗してもあまり落ち込まずにまた励むことが成功につながる","考えすぎずにマイペースになることは困難を苦にしないこともある","一度やると決めたら楽しむ","人との出会いが自分の人生を変える可能性を秘めている"
"2022/04/28 23:51","6824","26022172","やると決めたら楽しむ","自分で考えて自分で行動する","意志を持つことの大切さ","信頼関係の上で仕事は成り立っている","好奇心を持って様々なことを経験する"
"2022/04/28 23:51","6823","31020603","好奇心を持って自ら足を運んで経験する","努力しない限り得られない","一つ一つの仕事が真剣勝負","目の前の仕事をやる","スタートが大事"
"2022/04/28 23:51","6822","25020294","自分が未熟であることを理解する。自分で考えて行動すること。","人との繋がりが大切。やりたいことが見えてくることにつながる。","傾聴力","現時点で満足しない。さらなる高みを目指す。","やると決めたら楽しむ。それは自分の意思決定によるものである。"
"2022/04/28 23:51","6821","26021010","間学生としての繋がり","聞かれる前に行動することで信頼を得る","新しいことにチャレンジしたい姿勢がある","来た波に乗る","仕事に対して実績という形で誠心誠意返すこと"
"2022/04/28 23:51","6820","24020205","商社とは簡単に言うと何でも屋さん","商社の人材教育は手厚く、研修などで幅広い技能を得ることができる","小さなものから新しいものをつくりあげることが大切","会社は色々な価値観や個性を持っている人が集まることで、より良い商売を行うことができる","商売について考えるとき、環境やビジネスの創造につながり、社会を豊かにするものか検討する"
"2022/04/28 23:51","6819","29022384","やると決めたら楽しむ","物事を俯瞰的に見ることが大切","現状に満足しない","来た波には乗る、誠心誠意実績を残すことで信頼を得る","努力しない限り得られるものはない、全て真剣に取り組む"
"2022/04/28 23:51","6818","23020135","人との出会いを大切に","挑戦を果敢にする","やると決めたら楽しむ","好奇心を持って自分自身が現場に入る","楽しんで学生生活を歩む"
"2022/04/28 23:51","6817","29021526","やると決めたらとことん楽しむ","前向き捉える姿勢","学生のうちにできないことを楽しむ","関学は将来の仕事のネットワークを広げる","弁護士は人の利益のためにということが非常に実感しやすい職業である"
"2022/04/28 23:51","6816","22021047","波が来たら乗る","伸び代がある","今に満足しない","誠心誠意返す","関学から人生が始まった"
"2022/04/28 23:50","6815","32020560","やると決めたら楽しんでやる","第三者的な視点を持たないとダメ","役に立つことの喜びを知った","来た波には乗る","負け試合でも熱意は必要である"
