"回答日時","受付番号","回答ユーザ","第3回:キーワード①","第3回:キーワード②","第3回:キーワード③","第3回:キーワード④","第3回:キーワード⑤"
"2022/10/10 16:49","3225","26020237","結果を想像しすぎずに波に乗ってみる","知らないことにこそ興味を持つ","全ての仕事が真剣勝負","実績から信頼が得られ、それが自信に繋がる","努力しないと何も得られない"
"2022/10/10 16:49","3224","31020110","大学でやりたいことは今までやったことがなかったこと","やるって決めたら楽しむ","司法試験でやってた勉強と実務で必要な知識は全然違う","社会(学部)は自分にとって広すぎる","依頼者と同じ立場で物事を見るのではなく、ちょっと違う立場から物事を俯瞰して将来も見据えてその方にとって何がいいかを考える"
"2022/10/10 16:49","3223","26022618","やると決めたら楽しむと決める。","自分で考えて、自分で行動する。","社会に役立つことをやっているとプライドを持つ","分からないところは聞く。","人の役に立つかもしれないと思う。"
"2022/10/10 16:49","3222","24020835","やる時決めたら楽しむ","来た波に乗る","真剣勝負","社会貢献性","留学"
"2022/10/10 16:48","3221","26022417","来た波に乗る","実績を上げることによって信頼を得る、信頼を得られると自信につながる","自ら体験してそれを経験にする","やると決めたら楽しむ","努力をしない限り得られるものはない"
"2022/10/10 16:48","3220","26021473","専門分野は自分が好きなことを宣言すること","やると決めたら楽しむ","消去法","俯瞰的に見る","来た波には乗る"
"2022/10/10 16:48","3219","26021314","やると決めたら楽しむ","新人の時から自分で考えて行動する","実績を積むことで信頼、自信の正のスパイラルができる","波が来たら乗る","自分の知識を他者の利益のために活用できる方法を探す"
"2022/10/10 16:48","3218","24020816","大阪工業大学の院で知的財産について学んだ。","何事もまず契約書の作成から","頭の中にある文章を契約書に書いていく","関西学院大学のロースクールでも教鞭をとっている","勉強し続けることが大事"
"2022/10/10 16:47","3217","26022461","嫌だと思ったらできないやるかやらないか","周りが就職活動してるのに焦ったか？","伸び代があると自分に満足しない","新しいことをチャレンジしたい 知らないことに興味を持つ","どんな学生が弁護士に向いてる？ コミュニケーション ずーと勉強しないといけない それを楽しんでできる力"
"2022/10/10 16:47","3216","23020141","やると決めたら楽しむ","第三者的視点","現状に満足しない","来た波には乗る","努力のないところにお金は降ってこない"
"2022/10/10 16:47","3215","24020003","やると決めたら楽しむ","新人の頃から様々な実地体験をすることは大事","自分がちっぽけだと感じることは大人の始まり","同じ境遇の仲間を持つと支え合える","実績を上げると信頼をえて、その信頼が自身につながる。そのルーティーン。"
"2022/10/10 16:47","3214","34022080","やると決めたら楽しむ","続く勉強","実績->信頼->自信","好奇心","様々な経験(価値がある)"
"2022/10/10 16:46","3213","37021501","やりたいことみつけると集中してしまう","やるときめたら最後までやるまたは楽しむ","大人になる始まりは自分がいかにちっぽけかを自覚する","波が来たら拒まず、自信をもって乗る","実績、信頼、自信の繰り返し"
"2022/10/10 16:46","3212","29022262","裁判で1番労力を使うのは書面作り","カセットテープで楽しみながら勉強ができる","弁護士は勉強し続けないといけない","証拠が裏付けできた時が弁護士冥利に尽きる","関学という看板"
"2022/10/10 16:46","3211","23021606","消去法","全体を俯瞰して見る","記憶がないくらい必死","やると決めたら楽しむ","好奇心を持つ"
"2022/10/10 16:45","3210","23021372","やる時は楽しむ","第3者的立場","弁護士","事実と証拠のセット","実績による信頼"
"2022/10/10 16:45","3209","23022617","聞き上手になる","自分で決めたことは楽しんで取り組む","客観的視点","現状に定住しない","挑戦する"
"2022/10/10 16:45","3208","24019717","自分で決めて始めたことは楽しむことが大切","人のために自分のした方が結果になったと実感できれば自信につながる","自分で知識をつけ、活用できるようになれば自ずと人の役に立てて、自信につながる","自分が人にやられて嫌なことは他人にしない","ポジティブな考え方は将来の可能性を広げてくれる"
"2022/10/10 16:45","3207","25021208","専門分野は好きなものの宣言","やると決めたら楽しむ","第三者的な視点を持たないとダメ","傾聴","好奇心を持ち自ら体験して経験にする"
"2022/10/10 16:45","3206","26022368","次々と分からないところを潰す","知らないものほど怖いものは無い","第三者的な視点を持たないとダメ","自分で考えて行動する","伸び代"
"2022/10/10 16:44","3205","25022474","物事を俯瞰的にみる","現状に満足しない","話の聞き上手","頼られる存在","新しいことに挑戦"
"2022/10/10 16:44","3204","34022130","やりたいことは集中して頑張る","いつも自分のやることは何か考える","波が来たら乗る(きっかけ等)","実績-信頼-自信この流れが重要だと思う","やるのなら楽しむ"
"2022/10/10 16:44","3203","24020316","やると決めたら楽しむ","楽しむと決めることは自分次第","挑戦することが大切","自分の存在がちっぽけだと思い始めたら大人の始まり","自分の考え.行動に責任をもって最後までやりきる"
"2022/10/10 16:43","3202","24021106","自分がちっぽけだと感じた時から大人の始まり","自分で考えて行動する経験がのちに繋がる","結果まで考えすぎず、波に乗ってみるのも大事","社会での出会いが自分を助ける","好奇心を持っていろんな現場に行き、体験を経験にする"
"2022/10/10 16:43","3201","38021507","イメージと現実は全く違う。","自分の合う合わないを自信で決めることも大事。","常に勉強を楽しぬ力を持ってる人が弁護士に向いてる。","弁護士は熱意を持ってることも重要になる。","他者の利益のために利用できる方法を探す。"
"2022/10/10 16:42","3200","31021550","頭の中にあるものを吐き出す","やるかやめるか","司法試験","やりたいことが明確","のびしろ"
"2022/10/10 16:42","3199","25020112","自分の好きなことを突き詰め、自分のペースでこなしていく","一つのことをやると決めたら楽しんでやること","自分のことをちっぽけだなと感じたときが大人の始まり","勉強というものを楽しんでいく力、熱意をもってやる力というものが大事","自分に来た波に乗り、その波に対して自分が誠心誠意応える努力をする"
"2022/10/10 16:42","3198","23020006","専門分野は自分の好きなことを宣言すること","契約","やると決めたらやり切る","伸びしろ","自分のものにする"
"2022/10/10 16:42","3197","26022453","やると決めたら楽しむ","第三者の視点","自分で考え自分で行動する","波がきたらのる","全てのことに感謝"
"2022/10/10 16:41","3196","38022053","やるときめたら楽しむ","きた波になる","やり遂げる","自信をつける","たくさんの経験をする"
"2022/10/10 16:41","3195","23022577","話の聞き上手","頼られる存在","若手人員を増やす","声をかけられたら乗ってみる","新しいことに挑戦する"
"2022/10/10 16:41","3194","37022501","やると決めたら楽しむ","嫌だからやらないという気持ちを持たない","第三者的な視点が必要","自分をちっぽけだと感じることが大人の始まり","相手との信頼関係"
"2022/10/10 16:40","3193","23020069","専門分野というのは自分の好きなものを宣言すること","挑戦する","やると決めたら楽しむ","波が来たら乗る","信頼を得ると自信につながる"
"2022/10/10 16:40","3191","22022167","やると決めたら楽しむ","あまり結果は予想しすぎず波に乗ってみる","法律の勉強は無駄にはならない","誠心誠意恩を受けた人たちには返す","信頼を得たら自信につながり自信は実績につながり実績は信頼につながる"
"2022/10/10 16:40","3192","25021366","来た波にはのる","どんだけ大変だとしても逃げないでポジティブに成し遂げていく","俯瞰的な視点も大切にするべき","好奇心をもって経験をつんでいく","努力をしないと得られるものはない"
"2022/10/10 16:40","3190","23022141","やると決めたことは楽しんでする","嫌だからやらないという考えを持たない","役に立てる場所を見つける","重く考えすぎずに来た波には乗る","依頼された仕事は必死に取り組む"
"2022/10/10 16:40","3189","22021637","やるからには楽しむ","ポジティブでいる。","自信をつけるには、実績から信頼を得る。","波に乗るのではなく、奥の人まで考える","頼まれた時、全力で臨む"
"2022/10/10 16:40","3188","24022486","将来役に立つ知識も大切だが、基礎を固めることも大切","マイペース、周りに振り回されることがなかったからこそ成功も掴める","「やる」と決めたら楽しむ、ことが大事 どうせやるならしんどいよりも楽しむ","丸投げされたことで、逆に迷惑をかけられないのでより必死に取り組める","心では否定的でも期待されていることが分かればやる気になる"
"2022/10/10 16:40","3187","25021183","自分がやると決めたことは楽しんで最後までやり抜くこと。","物事を俯瞰的に見ること。","大人になると自分がちっぽけに見える時期が来ること。","自分で考えて自分で行動すること。","実績をあげると周囲の信頼を得ることが出来ること。"
"2022/10/10 16:39","3186","22020950","俯瞰的に見る","第三者的な視点を持つ","決断の連続","自分が役に立つことの嬉しさ","良いボスとの巡り合い"
"2022/10/10 16:39","3185","26022040","必死になるとそれに打ち込み、疑問に思わなくなる。","人と人との繋がり。","不満だと思ったことは自分の授業でしないように。","新たなことをやると決めたらやる。","前向きに捉えられる人に。"
"2022/10/10 16:38","3184","37021207","やると決めたら楽しむ","大人になったら自分の存在がちっぽけに見える","いいボスに出会う","来た波に乗る","好奇心を持って色んな現場に足を運び経験を積む"
"2022/10/10 16:38","3183","34022062","専門分野は自分の好きなこと・ものを宣言するもの","司法試験で勉強していた内容と実務で必要な知識は全然違う","やりたいことは、やったことがないこと","全部役には立てないけど、役に立てた部分もあると気付いた時に、すごく自信になった","自分が学生時代に不満に思ったことは絶対にしないようにした"
"2022/10/10 16:38","3182","27020808","自分でやると決めたことは楽しむ","楽しむんだ、と決めてやり切る","回ってきた波に乗り、チャンスを掴む","実績→信頼→自信の良い循環を作る","与えられた仕事に対して、自分で考えて行動する"
"2022/10/10 16:38","3181","24020323","弁護士","自分でバイトして自立","やると決めたら楽しむ","自分で考えて、行動する","努力をしない限り稼ぐことはできない"
"2022/10/10 16:38","3180","22020081","来た波に乗る","一つ一つの仕事は真剣勝負","聞かれる前に連絡をする","人の役に立つ","楽しんでする力"
"2022/10/10 16:38","3179","23021503","コミュニケーション能力","全てを楽しむ力","社会に出たら出会いが貴重で大切","好奇心をもって自ら体験する","主体性"
"2022/10/10 16:38","3178","22021104","やると決めたら楽しむ","楽しむということは自分の意志で決める","自分で考えて行動する","自分の存在がちっぽけだと気づいた時が大人の始まり","弁護士の仕事は第三者的に全力を尽くすことである"
"2022/10/10 16:37","3177","23022281","専門分野は自分が好きなものを宣言するということ","やると決めたら楽しむ","第三者に全力を尽くす","人との出会い","mastery for service"
"2022/10/10 16:37","3176","31022557","やると決めたら楽しむ","自分で考えて自分で行動する","波が来たらのる","実績信頼自信","何事も前向きに考える"
"2022/10/10 16:37","3175","23021031","主体性","コミュニケーション能力","すべてを楽しんでやる力","社会に出たら一つの出会いが大切","前向きに捉える"
"2022/10/10 16:36","3174","22022569","自分のペースで","やるって決めたら楽しむ","第三者の視点を持たないとだめ","基本お断りしないようにする","好奇心を持っていろんな現場に足を運ぶ"
"2022/10/10 16:36","3173","26021241","弁護士","俯瞰的に見る","与えられたものを自分のものにする","人の役に立っているということを実感する","取り組みながらそれを楽しむ力"
"2022/10/10 16:36","3172","29022292","うまくいった体験を自信にする","やると決めたらたのしむ姿勢で","新しいものにチャレンジする","信頼関係を作る","実績、信頼、自信のスパイラル"
"2022/10/10 16:36","3171","22022699","専門分野とは、自らの好きなものを宣言することである。そうすることで仕事に繋がり、経験や知識を得ていくことができる。","自分のやりたいことをやりたいペースで進める為に、やると決めたら楽しむと決める。嫌なことから逃げないために必要である。","顧客の心を良い方向に動かす瞬間がある。その感覚を大切に、仕事のやりがいにする。","内心、気持ちが乗らなくても、試しに挑んでみるという風に切り替える。何かいい縁やきっかけに繋がるかもしれないと考える。","自分に声をかけてくれた人の信用や期待の気持ちを信じる。プライドを持つ。"
"2022/10/10 16:34","3170","37022632","やると決めたら楽しむ","自分で考え自分で行動する","身近な法が社会を形作っている","一つ一つの仕事に真剣勝負","いい上司との出会い"
"2022/10/10 16:34","3169","26021320","やると決めたら楽しむ。","自分を相手に分かってもらう。","自信を持つには第三者目線になってみる。","挫折を味わってからが始まり。","終わりがないことも熱意を持って取り組む。"
"2022/10/10 16:34","3168","25021181","やるときめたら楽しむ。","自分の存在がちっぽけに感じてからが、大人の始まり。","自分で考えて、自分で動く。","実績、信頼、自信の循環。","助け合いが大切。"
"2022/10/10 16:34","3166","26022506","やると決めたら楽しむ","人の役に立つ楽しみ","相手に自分を知ってもらう","伸びしろ","来た波に乗る"
"2022/10/10 16:34","3165","29022081","やらなきゃと思ったらポジティブにやる","弁護士の仕事は第三者目線で全力でするべきであって、依頼者と同じ目線に立ってはダメ","仕事において、熱中しすぎるよりは、俯瞰して物事を見てみることが大事","説明ができないということは決断がにぶるということ","自分が誰かや何かの役に立った時に自信が持てる。また、自分に自信がないと思い始めた時が大人の始まり"
"2022/10/10 16:33","3164","24022342","やると決めたからには楽しむ","来た波には乗る","弁護士は人の役に立つ実感が持てる","実績→信頼→実績の正のスパイラル","社会に出てからも勉強し続けることが必要"
"2022/10/10 16:33","3163","23021426","やると決めたら楽しむ","前向きに捉える","俯瞰的な視点","人の役に立つことを実感できる","来た波には乗る"
"2022/10/10 16:32","3162","27020739","実績を上げること","自分で考え行動する","難しい課題でも挑戦してみる","俯瞰的に見る視点を持つ","波に乗ってみる"
"2022/10/10 16:32","3161","24021325","好きなものを宣言","やると決めたら楽しむ","依頼者と同化","1人1人消費者","法律の勉強は絶対に無駄にならない"
"2022/10/10 16:32","3160","23021184","マイペースに自分のペースで物事を進めていったら楽しむ","周りの人を意識しすぎない","不安も多いが、不安があるため頑張れる","全ての仕事に全力を注ぐ","自分ではなく相手の利益のために動く"
